use_no, field_name, old_value, new_value, error_id
1341871, ACRE_PLANTED, 12, 14, 101867
1341872, ACRE_PLANTED, 16, 17.5, 101868
1341873, ACRE_PLANTED, 16, 17.5, 101869
1341874, ACRE_PLANTED, 16, 17.5, 101870
1341875, ACRE_PLANTED, 16, 17.5, 101871
1341886, ACRE_PLANTED, 18.5, 19, 101872
1341887, ACRE_PLANTED, 18.5, 19, 101873
1341888, ACRE_PLANTED, 18.5, 19, 101874
1341889, ACRE_PLANTED, 18.5, 19, 101875
1341979, ACRE_PLANTED, 14, 16, 101876
1341980, ACRE_PLANTED, 14, 16, 101877
1341981, ACRE_PLANTED, 14, 16, 101878
1341982, ACRE_PLANTED, 14, 16, 101879
1341983, ACRE_PLANTED, 16, 18, 101880
1341984, ACRE_PLANTED, 16, 18, 101881
1341985, ACRE_PLANTED, 16, 18, 101882
1341986, ACRE_PLANTED, 16, 18, 101883
1341987, ACRE_PLANTED, 18.5, 19, 101884
1341988, ACRE_PLANTED, 18.5, 19, 101885
1341989, ACRE_PLANTED, 18.5, 19, 101886
1341990, ACRE_PLANTED, 18.5, 19, 101887
1341868, ACRE_PLANTED, 12, 14, 101864
4335747, ACRE_PLANTED, 10, 13, 299272
4335748, ACRE_PLANTED, 10, 13, 299273
4335749, ACRE_PLANTED, 10, 13, 299274
4335753, ACRE_PLANTED, 1, 5, 299276
4335762, ACRE_PLANTED, 106.5, 113.3, 299277
4335763, ACRE_PLANTED, 106.5, 113.3, 299278
4335764, ACRE_PLANTED, 106.5, 113.3, 299279
4335765, ACRE_PLANTED, 106.5, 113.3, 299280
4335766, ACRE_PLANTED, 106.5, 113.3, 299281
4335767, ACRE_PLANTED, 106.5, 113.3, 299282
4335768, ACRE_PLANTED, 36, 38.3, 299283
4335769, ACRE_PLANTED, 36, 38.3, 299284
4335770, ACRE_PLANTED, 36, 38.3, 299285
4335771, ACRE_PLANTED, 36, 38.3, 299286
4335772, ACRE_PLANTED, 36, 38.3, 299287
4335773, ACRE_PLANTED, 4.5, 8, 299288
4335774, ACRE_PLANTED, 4.5, 8, 299289
4335775, ACRE_PLANTED, 4.5, 8, 299290
4335784, ACRE_PLANTED, 57, 58, 299291
4335785, ACRE_PLANTED, 57, 58, 299292
4335786, ACRE_PLANTED, 57, 58, 299293
4335788, ACRE_PLANTED, 80.8, 80.9, 299294
4335789, ACRE_PLANTED, 80.8, 80.9, 299295
4335791, ACRE_PLANTED, 22, 22.6, 299296
4335792, ACRE_PLANTED, 36.3, 36.8, 299297
4335740, ACRE_PLANTED, 35, 41.66, 299265
4335713, ACRE_PLANTED, 36.3, 36.8, 299239
4335741, ACRE_PLANTED, 36, 37, 299266
4335742, ACRE_PLANTED, 36, 37, 299267
1461232, LBS_PRD_USED, 1.299, 1.299, 107883
1461232, AMT_PRD_USED, .3, .1285, 107883
1460705, LBS_PRD_USED, .0139, .0139, 107880
1460705, AMT_PRD_USED, 8, .1984, 107880
1460721, LBS_PRD_USED, .0162, .0162, 107881
1460721, AMT_PRD_USED, 8, .2314, 107881
1460733, LBS_PRD_USED, .0081, .0081, 107882
1460733, AMT_PRD_USED, 4, .1157, 107882
4138285, LBS_PRD_USED, 2.0775, 2.0775, 266290
4138285, AMT_PRD_USED, 41.5, 2.0775, 266290
4138288, LBS_PRD_USED, .0114, .0114, 266291
4138288, AMT_PRD_USED, 44, .0051, 266291
4332206, SITE_CODE, 065019, -1, 298464
4335714, ACRE_PLANTED, 36.3, 36.8, 299240
4335717, ACRE_PLANTED, 69, 70, 299242
4335718, ACRE_PLANTED, 69, 70, 299243
4335719, ACRE_PLANTED, 69, 70, 299244
4335720, ACRE_PLANTED, 69, 70, 299245
4335721, ACRE_PLANTED, 73, 74, 299246
4335722, ACRE_PLANTED, 73, 74, 299247
4335723, ACRE_PLANTED, 73, 74, 299248
4335724, ACRE_PLANTED, 73, 74, 299249
4335725, ACRE_PLANTED, 92, 94, 299250
4335726, ACRE_PLANTED, 92, 94, 299251
4335727, ACRE_PLANTED, 92, 94, 299252
4335728, ACRE_PLANTED, 92, 94, 299253
4335729, ACRE_PLANTED, 35, 40.09, 299254
4335730, ACRE_PLANTED, 35, 40.09, 299255
4335731, ACRE_PLANTED, 35, 40.09, 299256
4335732, ACRE_PLANTED, 35, 40.09, 299257
4335733, ACRE_PLANTED, 35, 38.52, 299258
4335734, ACRE_PLANTED, 35, 38.52, 299259
4335735, ACRE_PLANTED, 35, 38.52, 299260
4335736, ACRE_PLANTED, 35, 38.52, 299261
4335737, ACRE_PLANTED, 35, 41.66, 299262
4335738, ACRE_PLANTED, 35, 41.66, 299263
4335739, ACRE_PLANTED, 35, 41.66, 299264
1343045, LBS_PRD_USED, 5.5276, 5.5276, 101912
1343045, AMT_PRD_USED, 1.25, .5469, 101912
1343286, ACRE_PLANTED, 16, 18, 101913
1343287, ACRE_PLANTED, 16, 18, 101914
1343288, ACRE_PLANTED, 16, 18, 101915
1343289, ACRE_PLANTED, 12, 14, 101916
1343290, ACRE_PLANTED, 12, 14, 101917
1343291, ACRE_PLANTED, 12, 14, 101918
1343292, ACRE_PLANTED, 16, 17.5, 101919
1343293, ACRE_PLANTED, 16, 17.5, 101920
1343294, ACRE_PLANTED, 16, 17.5, 101921
1343295, ACRE_PLANTED, 14, 16, 101922
